doc_id,group,age_bin,story_id,age_years,word_count,half_life,total_benefit,ppl_at_min_ctx,ppl_at_max_ctx,T
401_A1,TD,4-5yr,A1,4.835,105,6.104412736297167,13100.605205535889,13114.376953125,13.771747589111328,133.0
401_A2,TD,4-5yr,A2,4.835,157,38.28855428683333,104.74874114990234,116.48088073730469,11.732139587402344,207.0
401_A3,TD,4-5yr,A3,4.835,282,6.398489494210905,13106.550525665283,13114.376953125,7.826427459716797,390.0
401_B1,TD,4-5yr,B1,4.835,133,6.105016204672407,13104.361978530884,13114.376953125,10.014974594116211,183.0
401_B2,TD,4-5yr,B2,4.835,256,6.104888747882734,13103.568521499634,13114.376953125,10.808431625366211,354.0
401_B3,TD,4-5yr,B3,4.835,292,6.105407224945479,13106.796197891235,13114.376953125,7.580755233764648,392.0
402_A1,TD,4-5yr,A1,4.593333333333334,63,8.794711447110506,13093.570329666138,13114.376953125,20.806623458862305,90.0
402_A2,TD,4-5yr,A2,4.593333333333334,79,16.587161639565448,513.1157417297363,534.2853393554688,21.169597625732422,109.0
402_A3,TD,4-5yr,A3,4.593333333333334,156,6.179050818847862,13106.954499721527,13114.376953125,7.4224534034729,217.0
402_B1,TD,4-5yr,B1,4.593333333333334,70,10.194037907709399,13095.976606369019,13114.376953125,18.400346755981445,92.0
402_B2,TD,4-5yr,B2,4.593333333333334,109,10.409276114797176,13096.817901611328,13114.376953125,17.559051513671875,148.0
402_B3,TD,4-5yr,B3,4.593333333333334,194,6.179169411079101,13105.192988395691,13114.376953125,9.183964729309082,272.0
405_A1,TD,4-5yr,A1,4.679166666666667,63,6.469755782922237,13089.393915176392,13114.376953125,24.9830379486084,81.0
405_A2,TD,4-5yr,A2,4.679166666666667,153,6.472718583457867,13105.096384048462,13114.376953125,9.280569076538086,220.0
405_A3,TD,4-5yr,A3,4.679166666666667,173,6.932363799837296,13106.649594306946,13114.376953125,7.727358818054199,229.0
405_B1,TD,4-5yr,B1,4.679166666666667,106,28.494552506995714,100.05666160583496,116.48088073730469,16.424219131469727,137.0
405_B2,TD,4-5yr,B2,4.679166666666667,114,6.47226142212917,13102.673486709595,13114.376953125,11.703466415405273,162.0
405_B3,TD,4-5yr,B3,4.679166666666667,185,6.472761868706982,13105.325790405273,13114.376953125,9.051162719726562,255.0
406_A1,TD,4-5yr,A1,4.595833333333333,158,6.737525383597248,13098.855450630188,13114.376953125,15.521502494812012,221.0
406_A2,TD,4-5yr,A2,4.595833333333333,160,6.260413668327869,13107.67723274231,13114.376953125,6.69972038269043,224.0
406_A3,TD,4-5yr,A3,4.595833333333333,224,6.097853888856097,13103.770622253418,13114.376953125,10.606330871582031,310.0
406_B1,TD,4-5yr,B1,4.595833333333333,80,7.0721712766471825,13088.417192459106,13114.376953125,25.959760665893555,107.0
406_B2,TD,4-5yr,B2,4.595833333333333,83,6.285892606557484,13095.65955734253,13114.376953125,18.717395782470703,107.0
406_B3,TD,4-5yr,B3,4.595833333333333,150,6.240151673140698,13097.441627502441,13114.376953125,16.935325622558594,205.0
409_A1,TD,4-5yr,A1,4.8341666666666665,56,6.235220333105163,13070.69387435913,13114.376953125,43.68307876586914,75.0
409_A2,TD,4-5yr,A2,4.8341666666666665,69,6.120529683986817,13087.876335144043,13114.376953125,26.50061798095703,94.0
409_A3,TD,4-5yr,A3,4.8341666666666665,102,6.1936547046229755,13103.008836746216,13114.376953125,11.36811637878418,139.0
409_B1,TD,4-5yr,B1,4.8341666666666665,45,9.437977160864866,13080.979541778564,13114.376953125,33.39741134643555,70.0
409_B2,TD,4-5yr,B2,4.8341666666666665,82,6.157686768008047,13097.969394683838,13114.376953125,16.40755844116211,114.0
409_B3,TD,4-5yr,B3,4.8341666666666665,127,6.351460004805466,13098.18607711792,13114.376953125,16.190876007080078,177.0
410_A1,TD,4-5yr,A1,4.105833333333333,84,6.275014312348093,13100.976650238037,13114.376953125,13.40030288696289,116.0
410_A2,TD,4-5yr,A2,4.105833333333333,64,9.303099450568398,13099.073450088501,13114.376953125,15.303503036499023,91.0
410_A3,TD,4-5yr,A3,4.105833333333333,120,6.175040066316802,13103.074462890625,13114.376953125,11.302490234375,168.0
410_B1,TD,4-5yr,B1,4.105833333333333,60,6.1916773594420595,13076.085681915283,13114.376953125,38.2912712097168,89.0
410_B2,TD,4-5yr,B2,4.105833333333333,53,6.263368692121215,13079.408260345459,13114.376953125,34.968692779541016,87.0
